Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
CHROMOSOME	5	97	8.110367892976589	5.017079461370488E-9	ENSG00000151304, ENSG00000155545, ENSG00000113583, ENSG00000113384, ENSG00000113318, ENSG00000164332, ENSG00000145907, ENSG00000113649, ENSG00000113312, ENSG00000168724, ENSG00000174695, ENSG00000072571, ENSG00000064651, ENSG00000186687, ENSG00000170584, ENSG00000113580, ENSG00000113594, ENSG00000198865, ENSG00000170089, ENSG00000113595, ENSG00000113391, ENSG00000158985, ENSG00000131437, ENSG00000171530, ENSG00000170571, ENSG00000132356, ENSG00000112851, ENSG00000119048, ENSG00000035499, ENSG00000113141, ENSG00000113140, ENSG00000181904, ENSG00000151422, ENSG00000178996, ENSG00000055147, ENSG00000181163, ENSG00000113460, ENSG00000068796, ENSG00000145604, ENSG00000151292, ENSG00000146007, ENSG00000153113, ENSG00000164209, ENSG00000151881, ENSG00000164252, ENSG00000133302, ENSG00000152942, ENSG00000015479, ENSG00000085231, ENSG00000113742, ENSG00000164187, ENSG00000177879, ENSG00000067248, ENSG00000085365, ENSG00000131507, ENSG00000131508, ENSG00000134352, ENSG00000113282, ENSG00000134970, ENSG00000181104, ENSG00000164244, ENSG00000112972, ENSG00000164182, ENSG00000112874, ENSG00000164176, ENSG00000153922, ENSG00000164615, ENSG00000039319, ENSG00000029993, ENSG00000062194, ENSG00000153037, ENSG00000120705, ENSG00000113356, ENSG00000039123, ENSG00000145779, ENSG00000113070, ENSG00000164902, ENSG00000188725, ENSG00000113621, ENSG00000153006, ENSG00000176018, ENSG00000153140, ENSG00000122008, ENSG00000127022, ENSG00000091009, ENSG00000157107, ENSG00000112893, ENSG00000164221, ENSG00000113638, ENSG00000153015, ENSG00000123213, ENSG00000168685, ENSG00000155329, ENSG00000164219, ENSG00000113522, ENSG00000140905, ENSG00000164211	1183	1886	43203	1.8782751223814935	1.204098990514879E-7	1.204098990514879E-7	4.024632482835244E-6
CHROMOSOME	4	90	7.5250836120401345	9.795274153980264E-9	ENSG00000145354, ENSG00000109189, ENSG00000132467, ENSG00000145414, ENSG00000164040, ENSG00000151725, ENSG00000132463, ENSG00000083896, ENSG00000179010, ENSG00000138757, ENSG00000151012, ENSG00000145216, ENSG00000163281, ENSG00000109586, ENSG00000174607, ENSG00000183199, ENSG00000164105, ENSG00000145388, ENSG00000078140, ENSG00000174749, ENSG00000181826, ENSG00000164109, ENSG00000164144, ENSG00000138660, ENSG00000179295, ENSG00000164031, ENSG00000164323, ENSG00000129128, ENSG00000174720, ENSG00000153130, ENSG00000134851, ENSG00000145349, ENSG00000163291, ENSG00000153132, ENSG00000145241, ENSG00000163322, ENSG00000138814, ENSG00000109790, ENSG00000038210, ENSG00000109445, ENSG00000138668, ENSG00000164134, ENSG00000173542, ENSG00000164024, ENSG00000145337, ENSG00000186063, ENSG00000151466, ENSG00000164022, ENSG00000164023, ENSG00000153147, ENSG00000033178, ENSG00000169019, ENSG00000152795, ENSG00000109472, ENSG00000145332, ENSG00000145331, ENSG00000156136, ENSG00000109171, ENSG00000169288, ENSG00000109332, ENSG00000198498, ENSG00000164167, ENSG00000109814, ENSG00000164163, ENSG00000164164, ENSG00000078177, ENSG00000168214, ENSG00000109534, ENSG00000005059, ENSG00000145365, ENSG00000147601, ENSG00000163132, ENSG00000164305, ENSG00000164306, ENSG00000109572, ENSG00000145220, ENSG00000185787, ENSG00000052802, ENSG00000178343, ENSG00000164096, ENSG00000118816, ENSG00000056050, ENSG00000138686, ENSG00000164118, ENSG00000138685, ENSG00000163104, ENSG00000218283, ENSG00000171497, ENSG00000164114, ENSG00000128059, ENSG00000109220	1183	1724	43203	1.906489459139825	2.3508655300208403E-7	1.1754328343993592E-7	7.85763479838053E-6
CHROMOSOME	2	123	10.28428093645485	2.9509124405005546E-7	ENSG00000171055, ENSG00000114978, ENSG00000123983, ENSG00000138448, ENSG00000163006, ENSG00000138385, ENSG00000138032, ENSG00000153250, ENSG00000134318, ENSG00000183513, ENSG00000162961, ENSG00000152253, ENSG00000115419, ENSG00000119878, ENSG00000119862, ENSG00000115310, ENSG00000136560, ENSG00000163510, ENSG00000138433, ENSG00000170802, ENSG00000144401, ENSG00000169756, ENSG00000128708, ENSG00000163798, ENSG00000005436, ENSG00000139233, ENSG00000163811, ENSG00000172845, ENSG00000116251, ENSG00000198668, ENSG00000115963, ENSG00000138430, ENSG00000091409, ENSG00000115504, ENSG00000163029, ENSG00000175879, ENSG00000169764, ENSG00000198406, ENSG00000169967, ENSG00000135972, ENSG00000186063, ENSG00000125629, ENSG00000138071, ENSG00000168385, ENSG00000113141, ENSG00000055332, ENSG00000115091, ENSG00000152133, ENSG00000162980, ENSG00000181163, ENSG00000138018, ENSG00000124383, ENSG00000095002, ENSG00000151694, ENSG00000173113, ENSG00000124380, ENSG00000188042, ENSG00000028116, ENSG00000144354, ENSG00000138398, ENSG00000135968, ENSG00000221823, ENSG00000186522, ENSG00000119801, ENSG00000081320, ENSG00000173960, ENSG00000021574, ENSG00000115947, ENSG00000141429, ENSG00000079785, ENSG00000115145, ENSG00000160014, ENSG00000116030, ENSG00000118260, ENSG00000170860, ENSG00000123609, ENSG00000115866, ENSG00000198586, ENSG00000018510, ENSG00000115750, ENSG00000170340, ENSG00000030419, ENSG00000158417, ENSG00000153214, ENSG00000211460, ENSG00000196950, ENSG00000003436, ENSG00000088205, ENSG00000036257, ENSG00000115540, ENSG00000068912, ENSG00000115053, ENSG00000213639, ENSG00000115541, ENSG00000077232, ENSG00000197223, ENSG00000170144, ENSG00000119820, ENSG00000080345, ENSG00000082153, ENSG00000055044, ENSG00000175582, ENSG00000068697, ENSG00000172292, ENSG00000115816, ENSG00000178074, ENSG00000091436, ENSG00000196504, ENSG00000196975, ENSG00000162928, ENSG00000143971, ENSG00000065548, ENSG00000144320, ENSG00000136536, ENSG00000115561, ENSG00000116161, ENSG00000152518, ENSG00000119844, ENSG00000171150, ENSG00000115808, ENSG00000065911, ENSG00000084733, ENSG00000135919, ENSG00000187514, ENSG00000163535	1183	2805	43203	1.6014058339850197	7.082165822236419E-6	2.3607275138060047E-6	2.3671791838930645E-4
CHROMOSOME	3	99	8.277591973244148	1.3822029225845943E-6	ENSG00000144747, ENSG00000174173, ENSG00000163888, ENSG00000071794, ENSG00000144746, ENSG00000174891, ENSG00000114166, ENSG00000163681, ENSG00000196428, ENSG00000174953, ENSG00000144674, ENSG00000173905, ENSG00000163320, ENSG00000122068, ENSG00000165119, ENSG00000114784, ENSG00000163512, ENSG00000163904, ENSG00000175105, ENSG00000187735, ENSG00000160124, ENSG00000163605, ENSG00000114902, ENSG00000163607, ENSG00000033867, ENSG00000114450, ENSG00000163714, ENSG00000018408, ENSG00000114251, ENSG00000198406, ENSG00000170837, ENSG00000114346, ENSG00000154174, ENSG00000136603, ENSG00000114520, ENSG00000081307, ENSG00000179021, ENSG00000177707, ENSG00000114209, ENSG00000129055, ENSG00000118855, ENSG00000163964, ENSG00000163635, ENSG00000181449, ENSG00000182247, ENSG00000134108, ENSG00000174738, ENSG00000171109, ENSG00000057019, ENSG00000170860, ENSG00000186432, ENSG00000114120, ENSG00000036054, ENSG00000152952, ENSG00000091317, ENSG00000206538, ENSG00000144635, ENSG00000184500, ENSG00000179295, ENSG00000113810, ENSG00000181467, ENSG00000113811, ENSG00000174013, ENSG00000114315, ENSG00000121879, ENSG00000152492, ENSG00000172340, ENSG00000152601, ENSG00000169379, ENSG00000133657, ENSG00000129071, ENSG00000181458, ENSG00000123545, ENSG00000163558, ENSG00000114686, ENSG00000082153, ENSG00000058063, ENSG00000080822, ENSG00000158092, ENSG00000121579, ENSG00000180611, ENSG00000181744, ENSG00000144597, ENSG00000118007, ENSG00000163412, ENSG00000114302, ENSG00000198836, ENSG00000170017, ENSG00000163661, ENSG00000067560, ENSG00000157500, ENSG00000090520, ENSG00000091527, ENSG00000081154, ENSG00000114439, ENSG00000080819, ENSG00000169359, ENSG00000083937, ENSG00000169255, ENSG00000008952	1183	2189	43203	1.651652174651788	3.3172342852938463E-5	8.293188878183422E-6	0.0011087789165475925
CHROMOSOME	12	88	7.357859531772576	2.554659502345324E-5	ENSG00000177889, ENSG00000130779, ENSG00000166130, ENSG00000111786, ENSG00000060982, ENSG00000072041, ENSG00000050405, ENSG00000118600, ENSG00000086598, ENSG00000102189, ENSG00000161813, ENSG00000111605, ENSG00000197757, ENSG00000139154, ENSG00000111371, ENSG00000196850, ENSG00000139324, ENSG00000180806, ENSG00000111647, ENSG00000198707, ENSG00000111707, ENSG00000087502, ENSG00000139726, ENSG00000143545, ENSG00000179295, ENSG00000166598, ENSG00000134294, ENSG00000135655, ENSG00000211455, ENSG00000136051, ENSG00000139233, ENSG00000172340, ENSG00000127314, ENSG00000175548, ENSG00000139146, ENSG00000171471, ENSG00000005175, ENSG00000139239, ENSG00000123268, ENSG00000091039, ENSG00000111711, ENSG00000159335, ENSG00000129315, ENSG00000174106, ENSG00000111276, ENSG00000070961, ENSG00000198056, ENSG00000111145, ENSG00000111832, ENSG00000111142, ENSG00000187109, ENSG00000123094, ENSG00000063046, ENSG00000121749, ENSG00000127328, ENSG00000134287, ENSG00000061794, ENSG00000111726, ENSG00000080371, ENSG00000123106, ENSG00000084463, ENSG00000110958, ENSG00000004700, ENSG00000139350, ENSG00000179941, ENSG00000139354, ENSG00000139644, ENSG00000133703, ENSG00000177425, ENSG00000094916, ENSG00000111530, ENSG00000139117, ENSG00000139116, ENSG00000075089, ENSG00000123009, ENSG00000111196, ENSG00000120802, ENSG00000151239, ENSG00000139163, ENSG00000127337, ENSG00000139168, ENSG00000099901, ENSG00000151233, ENSG00000173598, ENSG00000064102, ENSG00000139218, ENSG00000151135, ENSG00000187514	1183	2025	43203	1.5870360978053284	6.129381888314578E-4	1.2261770428223517E-4	0.020491291461777195
CHROMOSOME	8	63	5.2675585284280935	0.005059240918801171	ENSG00000169139, ENSG00000104687, ENSG00000168172, ENSG00000176853, ENSG00000104343, ENSG00000156162, ENSG00000156735, ENSG00000104388, ENSG00000164930, ENSG00000120533, ENSG00000164933, ENSG00000147533, ENSG00000120526, ENSG00000154582, ENSG00000171320, ENSG00000168615, ENSG00000120992, ENSG00000169439, ENSG00000164754, ENSG00000164758, ENSG00000147669, ENSG00000136982, ENSG00000164983, ENSG00000187735, ENSG00000155090, ENSG00000104375, ENSG00000155100, ENSG00000104472, ENSG00000221914, ENSG00000155096, ENSG00000066855, ENSG00000104331, ENSG00000104626, ENSG00000184661, ENSG00000104320, ENSG00000048392, ENSG00000198042, ENSG00000189376, ENSG00000076554, ENSG00000131773, ENSG00000205189, ENSG00000147419, ENSG00000181163, ENSG00000147687, ENSG00000104427, ENSG00000104756, ENSG00000156802, ENSG00000023287, ENSG00000104660, ENSG00000078674, ENSG00000147649, ENSG00000133872, ENSG00000104497, ENSG00000153310, ENSG00000147601, ENSG00000067167, ENSG00000089048, ENSG00000104765, ENSG00000133739, ENSG00000198363, ENSG00000164924, ENSG00000133731, ENSG00000123119	1183	1615	43203	1.424613919064979	0.11461258525661033	0.020083905491683263	3.9870924961698195
CHROMOSOME	18	32	2.6755852842809364	0.006660348328964413	ENSG00000017797, ENSG00000141446, ENSG00000176890, ENSG00000074695, ENSG00000101745, ENSG00000128791, ENSG00000166479, ENSG00000101557, ENSG00000166562, ENSG00000082212, ENSG00000067900, ENSG00000141682, ENSG00000197563, ENSG00000134049, ENSG00000147601, ENSG00000118276, ENSG00000110172, ENSG00000080986, ENSG00000134758, ENSG00000119541, ENSG00000168461, ENSG00000171451, ENSG00000119537, ENSG00000139146, ENSG00000085415, ENSG00000166845, ENSG00000154059, ENSG00000176105, ENSG00000137876, ENSG00000170677, ENSG00000041353, ENSG00000141429	1183	701	43203	1.6670979629390688	0.1481825692576093	0.02265138186011484	5.2195597107368314
CHROMOSOME	13	35	2.9264214046822743	0.0169187887693483	ENSG00000139734, ENSG00000123178, ENSG00000152484, ENSG00000139793, ENSG00000151846, ENSG00000139826, ENSG00000136146, ENSG00000136108, ENSG00000180776, ENSG00000136104, ENSG00000198176, ENSG00000125249, ENSG00000120694, ENSG00000122042, ENSG00000165487, ENSG00000189403, ENSG00000150459, ENSG00000165416, ENSG00000147601, ENSG00000088451, ENSG00000204899, ENSG00000136156, ENSG00000139746, ENSG00000102580, ENSG00000133119, ENSG00000120685, ENSG00000005812, ENSG00000102471, ENSG00000102738, ENSG00000120686, ENSG00000139687, ENSG00000139505, ENSG00000102753, ENSG00000120688, ENSG00000204442	1183	843	43203	1.5162458674640442	0.33603451893092706	0.049902472993465175	12.792638587037409
CHROMOSOME	1	125	10.451505016722408	0.09822953255173988	ENSG00000120948, ENSG00000197147, ENSG00000084073, ENSG00000170385, ENSG00000116747, ENSG00000156876, ENSG00000118363, ENSG00000162664, ENSG00000180488, ENSG00000116266, ENSG00000035687, ENSG00000117519, ENSG00000066557, ENSG00000168275, ENSG00000143545, ENSG00000134717, ENSG00000065243, ENSG00000054267, ENSG00000143401, ENSG00000102172, ENSG00000117505, ENSG00000162368, ENSG00000162851, ENSG00000117500, ENSG00000116251, ENSG00000143153, ENSG00000121774, ENSG00000065978, ENSG00000143156, ENSG00000186063, ENSG00000143742, ENSG00000116918, ENSG00000135766, ENSG00000117477, ENSG00000153187, ENSG00000143228, ENSG00000181163, ENSG00000094975, ENSG00000132485, ENSG00000126698, ENSG00000164163, ENSG00000175279, ENSG00000198162, ENSG00000116717, ENSG00000117569, ENSG00000097033, ENSG00000143420, ENSG00000134375, ENSG00000162636, ENSG00000162441, ENSG00000135776, ENSG00000154380, ENSG00000174842, ENSG00000162627, ENSG00000134371, ENSG00000171960, ENSG00000172260, ENSG00000162385, ENSG00000173598, ENSG00000142864, ENSG00000116667, ENSG00000213281, ENSG00000117155, ENSG00000169504, ENSG00000077254, ENSG00000143337, ENSG00000142867, ENSG00000198160, ENSG00000177888, ENSG00000125703, ENSG00000121851, ENSG00000116030, ENSG00000116473, ENSG00000116678, ENSG00000117620, ENSG00000143183, ENSG00000065135, ENSG00000162616, ENSG00000182827, ENSG00000162614, ENSG00000177868, ENSG00000069275, ENSG00000197780, ENSG00000152332, ENSG00000067334, ENSG00000203706, ENSG00000029993, ENSG00000085491, ENSG00000162704, ENSG00000133818, ENSG00000162819, ENSG00000155380, ENSG00000151414, ENSG00000117174, ENSG00000076321, ENSG00000162607, ENSG00000122482, ENSG00000143633, ENSG00000186197, ENSG00000067533, ENSG00000079335, ENSG00000183520, ENSG00000116350, ENSG00000123091, ENSG00000092969, ENSG00000082497, ENSG00000203668, ENSG00000119335, ENSG00000171735, ENSG00000183726, ENSG00000142892, ENSG00000143469, ENSG00000117222, ENSG00000143815, ENSG00000024526, ENSG00000070831, ENSG00000097096, ENSG00000116161, ENSG00000117614, ENSG00000117528, ENSG00000162545, ENSG00000153936, ENSG00000140905, ENSG00000023909, ENSG00000116750	1183	4050	43203	1.1271563194640117	0.916381148469938	0.24097510213677076	56.36988936450897
CHROMOSOME	15	44	3.678929765886288	0.21938324823891053	ENSG00000137770, ENSG00000104131, ENSG00000140374, ENSG00000154639, ENSG00000166734, ENSG00000169018, ENSG00000174442, ENSG00000138600, ENSG00000064726, ENSG00000069956, ENSG00000166855, ENSG00000138592, ENSG00000181163, ENSG00000166068, ENSG00000138594, ENSG00000128951, ENSG00000166503, ENSG00000092439, ENSG00000140307, ENSG00000171262, ENSG00000140280, ENSG00000137845, ENSG00000136938, ENSG00000104064, ENSG00000103642, ENSG00000114062, ENSG00000104164, ENSG00000117906, ENSG00000140367, ENSG00000166128, ENSG00000185787, ENSG00000138587, ENSG00000092531, ENSG00000140612, ENSG00000166200, ENSG00000104177, ENSG00000185551, ENSG00000166803, ENSG00000218283, ENSG00000137876, ENSG00000140299, ENSG00000136381, ENSG00000140575, ENSG00000134153, ENSG00000069869	1183	1390	43203	1.1560244957035215	0.9973787478212607	0.44811208974473826	86.28640669312782
